Item Kas,Satuan,Jenis Item,Kategori Akun
Plastik 0.25kg,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 0.5kg,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 15,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 21,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 24,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 28,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 40,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 4x6,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik 50,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Operasional
Plastik Klip (10x15),pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik Klip (5x8),pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik klip 10x6,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plastik/Kresek Sampah,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Plong/pelubang Kertas,pcs,Beban ATK,Beban Operasional
Poster Dinding,pcs,Leaflet Brosur Poster Flyer,Beban Marketing
Print/Laminating,pcs,Beban ATK,Beban Operasional
Printer Kasir,pcs,Peralatan,Beban Operasional
Pulsa HP,,Telepon Kantor,Beban Operasional
Rak Piring,pcs,Peralatan,Beban Operasional
Rame Box,pcs,HPP,HPP
Rapat HO,,Kas Bon Dinas,Beban Operasional
Regulator,pcs,Perlengkapan,Beban Operasional
Regulator LPG,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Reimburse Bank/Akunting,,Reimburse,
Reimburse Sales,,Reimburse,
Retribusi bazar mingguan,pcs,Biaya Promo Lainnya,Beban Marketing
Retribusi Kebersihan/Lingkungan,,Retribusi Lingkungan / Iuran RT,Beban Operasional
Retur Barang Supplier,,Selisih Persediaan Barang Dagangan,
Sabun Cuci Piring,liter,Janitorial,Beban Penjualan
Sabun Cuci Tangan (handsoap),pcs,Janitorial,Beban Penjualan
Sabun Mandi,pcs,Janitorial,Beban Penjualan
Sabun Pembersih Kaca/Cling,ml,Janitorial,Beban Operasional
Sajadah,pcs,Peralatan,Beban Operasional
Saldo Awal Bulan,,Saldo,
Sambal Bajak Raw,gram,HPP,HPP
Sambal Bawang Raw,gram,HPP,HPP
Sambal Korek Raw,gram,HPP,HPP
Saos Concase,gram,HPP,HPP
Sapu,pcs,Peralatan,Beban Operasional
Sapu Air/Wiper Lantai,pcs,Peralatan,Beban Operasional
Saringan French Fries,pcs,Perlengkapan,Beban Operasional
Saringan Wastafel,pcs,Peralatan,Beban Operasional
Saus BBQ Raw,ml,HPP,HPP
Saus BP Raw,ml,HPP,HPP
Saus Cabe/Chili Literan (lt),liter,"Saos Sambal, Kecap",Beban Penjualan
Saus Tomat Literan (lt),liter,"Saos Sambal, Kecap",Beban Penjualan
Seal Tape (perekat pipa),pcs,Pemeliharaan Gedung,Beban Operasional
sedotan,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
Sekop Es Batu,pcs,Peralatan,Beban Operasional
Selada,gram,Mix Vegeatable,Beban Penjualan
Selang,,Peralatan,Beban Operasional
Selisih Konsinasi/Titipan,pcs,Biaya Promo Lainnya,Beban Marketing
Semen,gram,Pemeliharaan Gedung,Beban Operasional
Semprot Meja,pcs,Janitorial,Beban Operasional
Sendok Plastik,pcs,HPP,HPP
Sendok Stainless,pcs,Peralatan,Beban Operasional
Serai,gram,Mix Vegeatable,Beban Penjualan
Serok Penggorengan,pcs,Peralatan,Beban Operasional
Sertifikat Cooking Class,pcs,Beban ATK,Beban Marketing
Service/Maintenance Perlengkapan,,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Servis Freezer,,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Servis/Maintenance Motor (transportasi),,Pemeliharaan kendaraan,Beban Operasional
Setor Patty Cash,,Saldo,
Sewa Gudang,,Alokasi Sewa Tempat,Beban Operasional
Sewa Stand Bazar,,Biaya Promo Lainnya,Beban Marketing
Sewa/Bayar Kos Karyawan,,,Beban Operasional
Sikat Lantai (panjang),pcs,Janitorial,Beban Penjualan
Sikat/Pembersih Kaca,pcs,Janitorial,Beban Penjualan
Skaker (saklar on off lampu),pcs,Pemeliharaan Gedung,Beban Operasional
Slice Beef,gram,HPP,HPP
Smoked beef,gram,HPP,HPP
Soda Api (anti sumbat),pcs,Janitorial,Beban Operasional
Sosis Ayam,gram,HPP,HPP
